iter	dimension	patterns	tools_named	costs	integration_points	status	notes
12	meeting	9	Deepgram+Claude+Google Calendar+Telegram+ZOE	$32.50	/api/stock/team/meetings/[id]/transcript + /api/stock/team/meetings/[id]/summarize + /api/stock/team/meetings/next-agenda + /api/stock/team/send-action-reminders	done	9-pattern: real-time transcription (Deepgram $1.50/hr), auto-summary + decisions + actions (Claude $1.25), agenda generation (free), speaker diarization (Deepgram native), participation scoring (defer Sep), async note-taking (defer Aug), sentiment analysis (skip), feedback pulse (defer May 15). 80/20: Deepgram transcript, Claude summary, Telegram reminders. Async SaaS cost avoided ($8-50/mo). 25 meetings, 163 days.
13	decision	8	Claude+Supabase+Google Calendar+Telegram	$5.50	/api/stock/team/meetings/[id]/extract-decisions + /api/stock/team/meetings/[id]/extract-actions + /stock/team/decisions (search UI) + /stock/team/actions (status tracking)	done	8-pattern decision log: decision extraction ($1.50), action item extraction ($4.00), accountability check-in (free ritual), decision log search (free), "where are we" chatbot (defer June, $0.10/query), commitment scoring (defer June), decision reversal audit (defer June), cross-meeting threads (defer June). All patterns feed stock_decisions + stock_action_items tables. Central source of truth. 80/20: extraction + structured tracking + Telegram reminders (doc 12 pattern 4).
14	rider	6	Claude-Vision+pdfplumber+AWS Textract+pdfkit+DocuSign	$2.00 API + $40-50/mo SaaS (deferred)	/api/stock/artist-rider/parse + /api/stock/artist-rider/validate + /api/stock/runofshow/aggregate-riders + /api/stock/artist/send-tax-forms + /api/stock/artist/travel-intake + /api/stock/artist/send-contracts	done	6-pattern rider intake: PDF parsing (Claude Vision $0.30, Jul 1), validation + conflict flagging ($0.50, Aug 1), multi-artist aggregation + stage plot ($0.10, Aug 15), tax form auto-request (W-9, $1, Aug 1), travel intake ($0.50, Aug 1), contract e-signature (deferred to Jun, $40-50/mo DocuSign). 80/20: parse + validate + aggregate. Eliminates 18h admin. At 10 artists, saves 15h tech reconciliation, 5h equipment RFQ, 8h manual parsing.
15	pricing	6	Claude-Vision+Clay+SendGrid+pdfkit+D3.js	$200/mo Clay (existing from doc 01) + $2 API	/api/stock/team/sponsors/benchmark-decks + /api/stock/team/sponsors/[id]/enrich (modified) + /api/stock/team/sponsors/ab-test + /api/stock/sponsor/[id]/generate-invoice + /api/stock/analytics/sponsor-attribution + /api/stock/budget/sponsor-forecast	done	6-pattern sponsor pricing: peer deck benchmarking (manual Google + Claude Vision $0.50, May 1), dynamic tier recs via Clay (existing, May 1), A/B test prices/subject lines (SendGrid native, May 20), invoice generation (pdfkit $0, May 15), post-event attribution reporting (Claude $2, Sep 15), revenue forecast widget (D3 + Claude $0, May 1). 80/20: benchmarking + dynamic ask + A/B test. Data-driven pricing increases confidence +40%, conversion likely +2-3x via personalization. At 20 leads, moves needle from $3K to $10K+.
10	community	9	Claude+Farcaster+Neynar+Typeform+Paragraph	$3.55	/api/stock/team/[id]/recap + /api/stock/team/retention/year2-predict + /api/stock/analytics/nps/analyze-batch + /api/stock/onboarding/email/queue + /api/stock/social/farcaster-mention-webhook + /api/stock/alumni/monthly-recap + /api/stock/community/milestone-check + /api/stock/team/sentiment-scan + /api/stock/rewards/suggest-unlockables	done	9-pattern post-festival: personalized recap posts (Oct 4), Year 1→2 retention prediction (cohort clustering), NPS survey + analysis (Typeform free), drip education (5-email sequence), Farcaster mention automation, alumni network + monthly recaps, community milestone celebration, sentiment monitoring (friction early-warning), reward distribution (points → unlockables). 80/20: recap posts ($0.92) + retention prediction ($0.01) + NPS analysis ($0.03) = P0. Alumni + sentiment = P2. Cost $3.55 negligible. Integration: PersonalHome.tsx + 9 new API routes.
11	onboarding	9	Neynar+X-API+Claude+Discord+Telegram+Supabase	$6.02	/api/stock/applicants/[id]/enrich + /api/stock/applicants/[id]/task-matches + /api/stock/applicants/[id]/first-week + /api/stock/team/buddy-match + /api/stock/applicants/[id]/intro-post + /api/stock/team/nudge-escalation + /api/stock/analytics/onboarding-weekly + /api/stock/kb/answer-question + /api/stock/access/provision	done	9-pattern new contributor flow: skill extraction from Farcaster/X profiles ($0.01), scope matching + ranking ($0.001), starter task ranking ($0.001), personalized first-week checklist ($0.001), buddy matching (skill + communication style), auto-generated intro post ($0.05), incomplete bio nudges (48h→96h→Zaal escalation), onboarding analytics (drop-off tracking), knowledge base Q&A via RAG ($0.01), access provisioning (Discord roles + Telegram invites). 80/20: skill extraction + scope matching + first-week checklist. Cost $6.02 total (mostly optional Runway image per applicant). Integration: BioEditor.tsx + 9 new API routes + pgvector RAG setup.
16	contingency	8	OpenWeather+Tomorrow.io+Claude+Twilio+Weasyprint	$0.73 baseline + $1200 tent (conditional)	/stock/team/contingency (playbook library) + /stock/team/alerts (weather) + /stock/team/drills (tabletop exercises) + /stock/team/equipment (waterproofing) + /api/stock/weather/check-forecast + /api/stock/contingency/activate-plan	done	8-pattern weather + logistics contingency: OpenWeather polling (free, Sept 29+), contingency playbook generation for 10 scenarios ($0.30 Claude), insurance + refund policy auto-draft ($0.10), real-time SMS alerts ($0.20), volunteer rain-gear checklist (on-demand), tabletop drills (3x before Oct 3), equipment waterproofing, medical emergency adjustment. 80/20: weather API polling + playbook generation + policy auto-draft = decision time 48h before Oct 3. Cost negligible unless rain contingency ($1200 tent). Integration: new /stock/team/contingency dashboard.
17	content_calendar	8	Claude+Firefly+Paragraph+Neynar+X-API+Metabase	$1.25	/stock/social-queue (approval workflow) + /stock/analytics/social (performance tracking) + /api/stock/social/generate-calendar + /api/stock/social/adapt-platforms + /api/stock/social/auto-caption (day-of photos) + /api/stock/social/recap (post-event)	done	8-pattern 163-day content: calendar generation (50+ posts, Claude $0.20), cross-platform adaptation (Farcaster/X/Bluesky/LinkedIn), weekly approval workflow (Zaal 15min/Mon), day-of photo captions ($0.80), post-event recap ($0.10), Paragraph newsletter integration, performance analytics. 80/20: calendar + cross-platform + weekly approval. 3-4 posts/week, zero blank days, 500+ pre-event followers. Integration: /stock/social-queue dashboard with approval. Timeline: calendar May 5, approval May 26, day-of Oct 3, recap Oct 4-5.
18	accessibility	11	Deepgram+Claude+Typeform+RID+Whisper	$1,110.70 (insurance/logistics dominated; Claude $3.00 core)	/stock/team/accessibility + /stock/attendee[id] (needs+consent) + /stock/dietary-log + /stock/accessibility-map + /stock/photo-consent-log + /api/stock/attendee/register	done	11-pattern accessibility: real-time captions (Deepgram $150.20), ASL interpreter ($625), WCAG AA registration form ($90.20), large-print+mobility ($158), sensory break space ($158), bilingual signage ($150.05), photo consent wristbands ($60.20), dietary tracking ($0.10), pronouns ($0.05), post-event video captions ($3.00). 80/20: captions+ASL+form = 95% access needs. Legal: ADA compliance mandatory. Vendor selection May, form deployment Jul, interpreter confirmed Aug, day-of Oct 3, video captions Oct 4-31.
19	safety	20	Claude+Deepgram+Twilio+Weather.gov+NOAA	$4,000-6,000 (insurance $2-3K, electrician $500; Claude $0.50 core)	/stock/safety/risk-register + /stock/safety/contacts + /stock/incident-report + /stock/safety/checklist + /api/stock/incidents/log	done	20-pattern safety: risk assessment (Claude $0.10, May 20), emergency contacts ($0.05), AED+first-aid ($425), crowd safety ($30), alcohol compliance if served ($125), weather protocol (free), fire safety (vendor), electrical ($500 Sep 20), sound ($85), lost-and-found ($0.05), incident triage ($0.15), volunteer briefing ($50), debrief (Claude $0.10). 80/20: risk + contacts + briefing prevent 80% incidents. Legal: liability insurance ($2-3K) mandatory; incident logs required. Risk assessment May 20, insurance Jun 1, venue Jun 3, volunteer training Sep 25, day-of Oct 3, debrief Oct 4-8.
20	followup	12	Claude+Typeform+Deepgram+Paragraph+Firefly	$312.40 (gifts $250, survey $30, newsletter $30; Claude $1.90 core)	/stock/followup-log + /stock/sponsor-roi-report + /stock/attendee (nps) + /stock/volunteer-appreciation + /stock/press-coverage + /stock/contentdrip	done	12-pattern post-event Oct 4-Dec 31: thank-yous (Claude $0.10, Oct 4-7), sponsor ROI (Claude $0.20, Oct 8-15), artist packages ($0.15, Oct 4-15), volunteer appreciation (gifts $250.15, Oct 10+), NPS survey (Typeform $30.15, Claude $0.15, Oct 7-17), press follow-up (Claude $0.25, Oct 8-30), content drip 12x (Claude $0.10, Firefly), alumni channel (free, Oct 15+), retrospective (Claude $0.15, Oct 25-31), financial reconciliation (Claude $0.20, Oct 31), Year 2 early-bird (Claude $0.10, Dec 1), Year in Review (Claude $0.35, Dec 31). 80/20: thank-yous+ROI+drip = momentum+sponsors+80% retention. Legal: 1099 filing for artists >$600 (Jan 15, 2027). Oct 4 thank-yous, Nov 1 recognition, Dec 1 early-bird, Dec 31 Year in Review.
